State,SA4,At_least_one_dose_15,Fully_vaccinated_15,date
New South Wales,Hunter Valley exc Newcastle,0.579,0.297,2021-08-30
New South Wales,Illawarra,0.619,0.37,2021-08-30
New South Wales,Mid North Coast,0.639,0.347,2021-08-30
New South Wales,Murray,0.612,0.337,2021-08-30
New South Wales,New England and North West,0.587,0.293,2021-08-30
New South Wales,Newcastle and Lake Macquarie,0.617,0.34,2021-08-30
New South Wales,Richmond - Tweed,0.565,0.311,2021-08-30
New South Wales,Riverina,0.603,0.354,2021-08-30
New South Wales,Southern Highlands and Shoalhaven,0.685,0.418,2021-08-30
New South Wales,Sydney - Baulkham Hills and Hawkesbury,0.781,0.46,2021-08-30
New South Wales,Sydney - Blacktown,0.767,0.364,2021-08-30
New South Wales,Sydney - City and Inner South,0.58,0.339,2021-08-30
Queensland,Logan - Beaudesert,0.4,0.238,2021-08-30
Queensland,Mackay - Isaac - Whitsunday,0.397,0.207,2021-08-30
New South Wales,Sydney - North Sydney and Hornsby,0.739,0.477,2021-08-30
Queensland,Moreton Bay - South,0.514,0.317,2021-08-30
Victoria,Melbourne - Inner East,0.606,0.398,2021-08-30
Victoria,Melbourne - Inner South,0.633,0.41,2021-08-30
Victoria,Melbourne - North East,0.518,0.322,2021-08-30
Victoria,Melbourne - North West,0.478,0.272,2021-08-30
Victoria,Melbourne - Outer East,0.571,0.349,2021-08-30
Victoria,Melbourne - South East,0.497,0.291,2021-08-30
Victoria,Melbourne - West,0.506,0.281,2021-08-30
Victoria,North West,0.591,0.364,2021-08-30
Victoria,Shepparton,0.607,0.356,2021-08-30
Victoria,Warrnambool and South West,0.666,0.412,2021-08-30
Western Australia,Bunbury,0.509,0.31,2021-08-30
Western Australia,Mandurah,0.506,0.315,2021-08-30
Western Australia,Perth - Inner,0.65,0.438,2021-08-30
Western Australia,Perth - North East,0.458,0.281,2021-08-30
Western Australia,Perth - North West,0.521,0.333,2021-08-30
Western Australia,Perth - South East,0.482,0.294,2021-08-30
Western Australia,Perth - South West,0.519,0.324,2021-08-30
Queensland,Moreton Bay - North,0.515,0.321,2021-08-30
Western Australia,Western Australia - Wheat Belt,0.494,0.298,2021-08-30
Victoria,Melbourne - Inner,0.514,0.321,2021-08-30
Victoria,Latrobe - Gippsland,0.603,0.379,2021-08-30
Victoria,Mornington Peninsula,0.613,0.378,2021-08-30
Queensland,Sunshine Coast,0.552,0.353,2021-08-30
Queensland,Queensland - Outback,0.425,0.28,2021-08-30
Victoria,Hume,0.638,0.383,2021-08-30
